	Drug	Target
1062	Fostamatinib	Adenosine receptor A3
1063	Fostamatinib	Vesicle monoamine transporter type 2
1064	Fostamatinib	Fatty-acid amide hydrolase 1
1065	Fostamatinib	Equilibrative nucleoside transporter 1
1066	Fostamatinib	UDP-glucuronosyltransferase 1-1
1067	Fostamatinib	cGMP-specific 3',5'-cyclic phosphodiesterase
1068	Fostamatinib	Arachidonate 5-lipoxygenase
1069	Fostamatinib	Cathepsin S
1070	Fostamatinib	Cathepsin L1
1071	Fostamatinib	Tyrosine-protein kinase ABL1
1072	Fostamatinib	Calcium-dependent protein kinase 1
1073	Fostamatinib	Serine/threonine-protein kinase PknB
1074	Fostamatinib	Ribosomal protein S6 kinase alpha-6
1075	Fostamatinib	Non-receptor tyrosine-protein kinase TYK2
1076	Fostamatinib	Atypical kinase COQ8A, mitochondrial
1077	Fostamatinib	Tyrosine-protein kinase JAK1
1078	Fostamatinib	Hepatocyte growth factor receptor
1079	Fostamatinib	Serine/threonine-protein kinase NIM1
1080	Fostamatinib	Serine/threonine-protein kinase 26
1081	Fostamatinib	cAMP-dependent protein kinase catalytic subunit alpha
1082	Fostamatinib	Serine/threonine-protein kinase 24
1083	Fostamatinib	Serine/threonine-protein kinase 3
1084	Fostamatinib	Tyrosine-protein kinase Tec
1085	Fostamatinib	Serine/threonine-protein kinase 33
1086	Fostamatinib	Serine/threonine-protein kinase 35
1087	Fostamatinib	Serine/threonine-protein kinase 36
1088	Fostamatinib	Serine/threonine-protein kinase 38
1089	Fostamatinib	Serine/threonine-protein kinase 38-like
1090	Fostamatinib	STE20/SPS1-related proline-alanine-rich protein kinase
1091	Fostamatinib	Serine/threonine-protein kinase TAO1
1092	Fostamatinib	Serine/threonine-protein kinase TAO2
1093	Fostamatinib	Serine/threonine-protein kinase TAO3
1094	Fostamatinib	Serine/threonine-protein kinase TBK1
1095	Fostamatinib	Angiopoietin-1 receptor
1096	Fostamatinib	Dual specificity testis-specific protein kinase 1
1097	Fostamatinib	TGF-beta receptor type-1
1098	Fostamatinib	TGF-beta receptor type-2
1099	Fostamatinib	Tyrosine-protein kinase receptor Tie-1
1100	Fostamatinib	Serine/threonine-protein kinase tousled-like 1
1101	Fostamatinib	Serine/threonine-protein kinase tousled-like 2
1102	Fostamatinib	TRAF2 and NCK-interacting protein kinase
1103	Fostamatinib	Non-receptor tyrosine-protein kinase TNK1
1104	Fostamatinib	Activated CDC42 kinase 1
1105	Fostamatinib	Serine/threonine-protein kinase TNNI3K
1106	Fostamatinib	Testis-specific serine/threonine-protein kinase 1
1107	Fostamatinib	Dual specificity protein kinase TTK
1108	Fostamatinib	Tyrosine-protein kinase TXK
1109	Fostamatinib	Tyrosine-protein kinase receptor TYRO3
1110	Fostamatinib	Serine/threonine-protein kinase ULK1
1111	Fostamatinib	Serine/threonine-protein kinase ULK2
1112	Fostamatinib	Serine/threonine-protein kinase ULK3
1113	Fostamatinib	Wee1-like protein kinase
1114	Fostamatinib	Tyrosine-protein kinase Yes
1115	Fostamatinib	Mitogen-activated protein kinase kinase kinase 19
1116	Fostamatinib	Mitogen-activated protein kinase kinase kinase MLT
1117	Fostamatinib	Tyrosine-protein kinase ZAP-70
1118	Fostamatinib	AP2-associated protein kinase 1
1119	Fostamatinib	Abelson tyrosine-protein kinase 2
1120	Fostamatinib	Activin receptor type-1
1121	Fostamatinib	Activin receptor type-1B
1122	Fostamatinib	Atypical kinase COQ8B, mitochondrial
1123	Fostamatinib	ALK tyrosine kinase receptor
1124	Fostamatinib	Ankyrin repeat and protein kinase domain-containing protein 1
1125	Fostamatinib	Aurora kinase A
1126	Fostamatinib	Aurora kinase B
1127	Fostamatinib	Aurora kinase C
1128	Fostamatinib	Tyrosine-protein kinase receptor UFO
1129	Fostamatinib	Tyrosine-protein kinase Blk
1130	Fostamatinib	BMP-2-inducible protein kinase
1131	Fostamatinib	Bone morphogenetic protein receptor type-1B
1132	Fostamatinib	Bone morphogenetic protein receptor type-2
1133	Fostamatinib	Cytoplasmic tyrosine-protein kinase BMX
1134	Fostamatinib	Serine/threonine-protein kinase B-raf
1135	Fostamatinib	Tyrosine-protein kinase BTK
1136	Fostamatinib	Calcium/calmodulin-dependent protein kinase type 1
1137	Fostamatinib	Calcium/calmodulin-dependent protein kinase type 1D
1138	Fostamatinib	Calcium/calmodulin-dependent protein kinase type 1G
1139	Fostamatinib	Calcium/calmodulin-dependent protein kinase type II subunit alpha
1140	Fostamatinib	Calcium/calmodulin-dependent protein kinase type II subunit beta
1141	Fostamatinib	Calcium/calmodulin-dependent protein kinase type II subunit delta
1142	Fostamatinib	Calcium/calmodulin-dependent protein kinase type II subunit gamma
1143	Fostamatinib	Calcium/calmodulin-dependent protein kinase kinase 1
1144	Fostamatinib	Calcium/calmodulin-dependent protein kinase kinase 2
1145	Fostamatinib	Peripheral plasma membrane protein CASK
1146	Fostamatinib	Kappa-casein
1147	Fostamatinib	Cyclin-dependent kinase 1
1148	Fostamatinib	Serine/threonine-protein kinase MRCK gamma
1149	Fostamatinib	Cyclin-dependent kinase 4
1150	Fostamatinib	Cyclin-dependent kinase-like 1
1151	Fostamatinib	Cyclin-dependent kinase-like 2
1152	Fostamatinib	Serine/threonine-protein kinase Chk1
1153	Fostamatinib	Serine/threonine-protein kinase Chk2
1154	Fostamatinib	Citron Rho-interacting kinase
1155	Fostamatinib	Dual specificity protein kinase CLK1
1156	Fostamatinib	Dual specificity protein kinase CLK2
1157	Fostamatinib	Dual specificity protein kinase CLK3
1158	Fostamatinib	Dual specificity protein kinase CLK4
1159	Fostamatinib	Macrophage colony-stimulating factor 1 receptor
1160	Fostamatinib	Tyrosine-protein kinase CSK
1161	Fostamatinib	Casein kinase I isoform alpha
1162	Fostamatinib	Casein kinase II subunit alpha
1163	Fostamatinib	Casein kinase II subunit alpha'
1164	Fostamatinib	Death-associated protein kinase 1
1165	Fostamatinib	Death-associated protein kinase 2
1166	Fostamatinib	Death-associated protein kinase 3
1167	Fostamatinib	Serine/threonine-protein kinase DCLK1
1168	Fostamatinib	Serine/threonine-protein kinase DCLK2
1169	Fostamatinib	Serine/threonine-protein kinase DCLK3
1170	Fostamatinib	Epithelial discoidin domain-containing receptor 1
1171	Fostamatinib	Discoidin domain-containing receptor 2
1172	Fostamatinib	Dual specificity tyrosine-phosphorylation-regulated kinase 1A
1173	Fostamatinib	Dual specificity tyrosine-phosphorylation-regulated kinase 1B
1174	Fostamatinib	Epidermal growth factor receptor
1175	Fostamatinib	Eukaryotic translation initiation factor 2-alpha kinase 1
1176	Fostamatinib	Interferon-induced, double-stranded RNA-activated protein kinase
1177	Fostamatinib	eIF-2-alpha kinase GCN2
1178	Fostamatinib	Ephrin type-A receptor 1
1179	Fostamatinib	Ephrin type-A receptor 2
1180	Fostamatinib	Ephrin type-A receptor 3
1181	Fostamatinib	Ephrin type-A receptor 4
1182	Fostamatinib	Ephrin type-A receptor 5
1183	Fostamatinib	Ephrin type-A receptor 6
1184	Fostamatinib	Ephrin type-A receptor 7
1185	Fostamatinib	Ephrin type-A receptor 8
1186	Fostamatinib	Ephrin type-B receptor 1
1187	Fostamatinib	Ephrin type-B receptor 2
1188	Fostamatinib	Ephrin type-B receptor 4
1189	Fostamatinib	Ephrin type-B receptor 6
1190	Fostamatinib	Receptor tyrosine-protein kinase erbB-2
1191	Fostamatinib	Receptor tyrosine-protein kinase erbB-4
1192	Fostamatinib	Serine/threonine-protein kinase/endoribonuclease IRE1
1193	Fostamatinib	Tyrosine-protein kinase Fer
1194	Fostamatinib	Tyrosine-protein kinase Fes/Fps
1195	Fostamatinib	Fibroblast growth factor receptor 1
1196	Fostamatinib	Fibroblast growth factor receptor 2
1197	Fostamatinib	Fibroblast growth factor receptor 3
1198	Fostamatinib	Tyrosine-protein kinase Fgr
1199	Fostamatinib	Vascular endothelial growth factor receptor 1
1200	Fostamatinib	Receptor-type tyrosine-protein kinase FLT3
1201	Fostamatinib	Vascular endothelial growth factor receptor 3
1202	Fostamatinib	Serine/threonine-protein kinase mTOR
1203	Fostamatinib	Tyrosine-protein kinase FRK
1204	Fostamatinib	Tyrosine-protein kinase Fyn
1205	Fostamatinib	Cyclin-G-associated kinase
1206	Fostamatinib	Glycogen synthase kinase-3 alpha
1207	Fostamatinib	Glycogen synthase kinase-3 beta
1208	Fostamatinib	Tyrosine-protein kinase HCK
1209	Fostamatinib	Homeodomain-interacting protein kinase 2
1210	Fostamatinib	Homeodomain-interacting protein kinase 3
1211	Fostamatinib	Serine/threonine-protein kinase ICK
1212	Fostamatinib	Inhibitor of nuclear factor kappa-B kinase subunit beta
1213	Fostamatinib	Inhibitor of nuclear factor kappa-B kinase subunit epsilon
1214	Fostamatinib	Insulin receptor
1215	Fostamatinib	Insulin receptor-related protein
1216	Fostamatinib	Interleukin-1 receptor-associated kinase 1
1217	Fostamatinib	Interleukin-1 receptor-associated kinase 3
1218	Fostamatinib	Interleukin-1 receptor-associated kinase 4
1219	Fostamatinib	Tyrosine-protein kinase ITK/TSK
1220	Fostamatinib	Tyrosine-protein kinase JAK2
1221	Fostamatinib	Tyrosine-protein kinase JAK3
1222	Fostamatinib	Vascular endothelial growth factor receptor 2
1223	Fostamatinib	Serine/threonine-protein kinase SIK3
1224	Fostamatinib	Mast/stem cell growth factor receptor Kit
1225	Fostamatinib	Serine/threonine-protein kinase LATS1
1226	Fostamatinib	Tyrosine-protein kinase Lck
1227	Fostamatinib	LIM domain kinase 1
1228	Fostamatinib	LIM domain kinase 2
1229	Fostamatinib	Leucine-rich repeat serine/threonine-protein kinase 2
1230	Fostamatinib	Leukocyte tyrosine kinase receptor
1231	Fostamatinib	Tyrosine-protein kinase Lyn
1232	Fostamatinib	Dual specificity mitogen-activated protein kinase kinase 2
1233	Fostamatinib	Dual specificity mitogen-activated protein kinase kinase 3
1234	Fostamatinib	Dual specificity mitogen-activated protein kinase kinase 5
1235	Fostamatinib	Dual specificity mitogen-activated protein kinase kinase 6
1236	Fostamatinib	Mitogen-activated protein kinase kinase kinase 1
1237	Fostamatinib	Mitogen-activated protein kinase kinase kinase 10
1238	Fostamatinib	Mitogen-activated protein kinase kinase kinase 11
1239	Fostamatinib	Mitogen-activated protein kinase kinase kinase 12
1240	Fostamatinib	Mitogen-activated protein kinase kinase kinase 13
1241	Fostamatinib	Mitogen-activated protein kinase kinase kinase 15
1242	Fostamatinib	Mitogen-activated protein kinase kinase kinase 2
1243	Fostamatinib	Mitogen-activated protein kinase kinase kinase 3
1244	Fostamatinib	Mitogen-activated protein kinase kinase kinase 4
1245	Fostamatinib	Mitogen-activated protein kinase kinase kinase 6
1246	Fostamatinib	Mitogen-activated protein kinase kinase kinase 9
1247	Fostamatinib	Mitogen-activated protein kinase kinase kinase kinase 1
1248	Fostamatinib	Mitogen-activated protein kinase kinase kinase kinase 2
1249	Fostamatinib	Mitogen-activated protein kinase kinase kinase kinase 3
1250	Fostamatinib	Mitogen-activated protein kinase kinase kinase kinase 4
1251	Fostamatinib	Mitogen-activated protein kinase kinase kinase kinase 5
1252	Fostamatinib	Mitogen-activated protein kinase 10
1253	Fostamatinib	Mitogen-activated protein kinase 13
1254	Fostamatinib	Mitogen-activated protein kinase 14
1255	Fostamatinib	Mitogen-activated protein kinase 15
1256	Fostamatinib	Mitogen-activated protein kinase 4
1257	Fostamatinib	Mitogen-activated protein kinase 7
1258	Fostamatinib	Mitogen-activated protein kinase 9
1259	Fostamatinib	MAP kinase-activated protein kinase 5
1260	Fostamatinib	Serine/threonine-protein kinase MARK1
1261	Fostamatinib	Serine/threonine-protein kinase MARK2
1262	Fostamatinib	MAP/microtubule affinity-regulating kinase 3
1263	Fostamatinib	MAP/microtubule affinity-regulating kinase 4
1264	Fostamatinib	CLIP-associating protein 1
1265	Fostamatinib	Microtubule-associated serine/threonine-protein kinase 1
1266	Fostamatinib	Megakaryocyte-associated tyrosine-protein kinase
1267	Fostamatinib	Maternal embryonic leucine zipper kinase
1268	Fostamatinib	Tyrosine-protein kinase Mer
1269	Fostamatinib	Misshapen-like kinase 1
1270	Fostamatinib	MAP kinase-interacting serine/threonine-protein kinase 1
1271	Fostamatinib	MAP kinase-interacting serine/threonine-protein kinase 2
1272	Fostamatinib	Macrophage-stimulating protein receptor
1273	Fostamatinib	Muscle, skeletal receptor tyrosine-protein kinase
1274	Fostamatinib	Myosin light chain kinase, smooth muscle
1275	Fostamatinib	Myosin light chain kinase 2, skeletal/cardiac muscle
1276	Fostamatinib	Myosin light chain kinase 3
1277	Fostamatinib	Myosin light chain kinase family member 4
1278	Fostamatinib	Myosin-IIIa
1279	Fostamatinib	Serine/threonine-protein kinase Nek1
1280	Fostamatinib	Serine/threonine-protein kinase Nek11
1281	Fostamatinib	Serine/threonine-protein kinase Nek2
1282	Fostamatinib	Serine/threonine-protein kinase Nek3
1283	Fostamatinib	Serine/threonine-protein kinase Nek4
1284	Fostamatinib	Serine/threonine-protein kinase Nek5
1285	Fostamatinib	Serine/threonine-protein kinase Nek9
1286	Fostamatinib	High affinity nerve growth factor receptor
1287	Fostamatinib	BDNF/NT-3 growth factors receptor
1288	Fostamatinib	NT-3 growth factor receptor
1289	Fostamatinib	NUAK family SNF1-like kinase 1
1290	Fostamatinib	NUAK family SNF1-like kinase 2
1291	Fostamatinib	Serine/threonine-protein kinase OSR1
1292	Fostamatinib	Serine/threonine-protein kinase PAK 1
1293	Fostamatinib	Serine/threonine-protein kinase PAK 2
1294	Fostamatinib	Serine/threonine-protein kinase PAK 3
1295	Fostamatinib	Serine/threonine-protein kinase PAK 4
1296	Fostamatinib	Serine/threonine-protein kinase PAK 6
1297	Fostamatinib	Serine/threonine-protein kinase PAK 5
1298	Fostamatinib	Cyclin-dependent kinase 16
1299	Fostamatinib	Cyclin-dependent kinase 17
1300	Fostamatinib	Platelet-derived growth factor receptor alpha
1301	Fostamatinib	Platelet-derived growth factor receptor beta
1302	Fostamatinib	3-phosphoinositide-dependent protein kinase 1
1303	Fostamatinib	Cyclin-dependent kinase 15
1304	Fostamatinib	Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform
1305	Fostamatinib	Phosphatidylinositol 4-kinase beta
1306	Fostamatinib	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta
1307	Fostamatinib	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit gamma
1308	Fostamatinib	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform
1309	Fostamatinib	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform
1310	Fostamatinib	Serine/threonine-protein kinase pim-1
1311	Fostamatinib	Serine/threonine-protein kinase pim-3
1312	Fostamatinib	Phosphatidylinositol 5-phosphate 4-kinase type-2 beta
1313	Fostamatinib	Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma
1314	Fostamatinib	Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase
1315	Fostamatinib	Serine/threonine-protein kinase N1
1316	Fostamatinib	Serine/threonine-protein kinase N2
1317	Fostamatinib	Serine/threonine-protein kinase PLK1
1318	Fostamatinib	Serine/threonine-protein kinase PLK2
1319	Fostamatinib	Serine/threonine-protein kinase PLK3
1320	Fostamatinib	Serine/threonine-protein kinase PLK4
1321	Fostamatinib	5'-AMP-activated protein kinase catalytic subunit alpha-1
1322	Fostamatinib	5'-AMP-activated protein kinase catalytic subunit alpha-2
1323	Fostamatinib	5'-AMP-activated protein kinase subunit beta-1
1324	Fostamatinib	5'-AMP-activated protein kinase subunit beta-2
1325	Fostamatinib	5'-AMP-activated protein kinase subunit gamma-1
1326	Fostamatinib	5'-AMP-activated protein kinase subunit gamma-2
1327	Fostamatinib	5'-AMP-activated protein kinase subunit gamma-3
1328	Fostamatinib	cAMP-dependent protein kinase catalytic subunit beta
1329	Fostamatinib	Protein kinase C delta type
1330	Fostamatinib	Protein kinase C epsilon type
1331	Fostamatinib	Protein kinase C gamma type
1332	Fostamatinib	Protein kinase C iota type
1333	Fostamatinib	Protein kinase C theta type
1334	Fostamatinib	Serine/threonine-protein kinase D1
1335	Fostamatinib	cGMP-dependent protein kinase 2
1336	Fostamatinib	Serine/threonine-protein kinase PRP4 homolog
1337	Fostamatinib	Focal adhesion kinase 1
1338	Fostamatinib	Protein-tyrosine kinase 2-beta
1339	Fostamatinib	Protein-tyrosine kinase 6
1340	Fostamatinib	RAF proto-oncogene serine/threonine-protein kinase
1341	Fostamatinib	Proto-oncogene tyrosine-protein kinase receptor Ret
1342	Fostamatinib	Serine/threonine-protein kinase RIO1
1343	Fostamatinib	Serine/threonine-protein kinase RIO2
1344	Fostamatinib	Serine/threonine-protein kinase RIO3
1345	Fostamatinib	Receptor-interacting serine/threonine-protein kinase 1
1346	Fostamatinib	Receptor-interacting serine/threonine-protein kinase 2
1347	Fostamatinib	Receptor-interacting serine/threonine-protein kinase 4
1348	Fostamatinib	Rho-associated protein kinase 2
1349	Fostamatinib	Proto-oncogene tyrosine-protein kinase ROS
1350	Fostamatinib	Ribosomal protein S6 kinase alpha-1
1351	Fostamatinib	Ribosomal protein S6 kinase alpha-3
1352	Fostamatinib	Serine/threonine-protein kinase SBK1
1353	Fostamatinib	Uncharacterized serine/threonine-protein kinase SBK3
1354	Fostamatinib	Serine/threonine-protein kinase Sgk3
1355	Fostamatinib	Serine/threonine-protein kinase SIK1
1356	Fostamatinib	Serine/threonine-protein kinase SIK2
1357	Fostamatinib	STE20-like serine/threonine-protein kinase
1358	Fostamatinib	SNF-related serine/threonine-protein kinase
1359	Fostamatinib	Proto-oncogene tyrosine-protein kinase Src
1360	Fostamatinib	Tyrosine-protein kinase Srms
1361	Fostamatinib	Serine/threonine-protein kinase 10
1362	Fostamatinib	Serine/threonine-protein kinase 16
1363	Fostamatinib	Serine/threonine-protein kinase 17A
1364	Fostamatinib	Serine/threonine-protein kinase 17B
1365	Fostamatinib	Serine/threonine-protein kinase 32A
1366	Angiotensin II	Type-1 angiotensin II receptor
1367	Oxycodone	Mu-type opioid receptor
1368	Oxycodone	Kappa-type opioid receptor
1369	Oxycodone	Delta-type opioid receptor
1370	Thalidomide	Protein cereblon
1371	Thalidomide	Tumor necrosis factor
1372	Thalidomide	Nuclear factor NF-kappa-B p105 subunit
1373	Thalidomide	Fibroblast growth factor receptor 2
1374	Thalidomide	Prostaglandin G/H synthase 2
1375	Thalidomide	Alpha-1-acid glycoprotein 1
1376	Thalidomide	Alpha-1-acid glycoprotein 2
1377	Losartan	Type-1 angiotensin II receptor
1378	Progesterone	Progesterone receptor
1379	Progesterone	Estrogen receptor
1380	Progesterone	Mineralocorticoid receptor
1381	Progesterone	Steroid 17-alpha-hydroxylase/17,20 lyase
1382	Progesterone	Kappa-type opioid receptor
1383	Progesterone	Alpha-1-acid glycoprotein 1
1384	Progesterone	Glucocorticoid receptor
1385	Progesterone	Androgen receptor
1386	Progesterone	Sex hormone-binding globulin
1387	Progesterone	Estrogen receptor beta
1388	Dapagliflozin	Sodium/glucose cotransporter 2
1389	Tirofiban	Integrin alpha-IIb
1390	Tirofiban	Integrin beta-3
1391	Atazanavir	Pol polyprotein
1392	Olmesartan	Type-1 angiotensin II receptor
1393	Nintedanib	Vascular endothelial growth factor receptor 1
1394	Nintedanib	Vascular endothelial growth factor receptor 2
1395	Nintedanib	Vascular endothelial growth factor receptor 3
1396	Nintedanib	Platelet-derived growth factor receptor alpha
1397	Nintedanib	Platelet-derived growth factor receptor beta
1398	Nintedanib	Fibroblast growth factor receptor 1
1399	Nintedanib	Fibroblast growth factor receptor 2
1400	Nintedanib	Fibroblast growth factor receptor 3
1401	Nintedanib	Receptor-type tyrosine-protein kinase FLT3
1402	Nintedanib	Tyrosine-protein kinase Lck
1403	Nintedanib	Tyrosine-protein kinase Lyn
1404	Nintedanib	Proto-oncogene tyrosine-protein kinase Src
1405	Ivermectin	Glycine receptor subunit alpha-3
1406	Ivermectin	Gamma-aminobutyric acid receptor subunit beta-3
1407	Fluoxetine	Sodium-dependent serotonin transporter
1408	Fluoxetine	5-hydroxytryptamine receptor 2C
1409	Fluoxetine	Neuronal acetylcholine receptor subunit alpha-2
1410	Fluoxetine	Neuronal acetylcholine receptor subunit alpha-3
1411	Fluoxetine	Neuronal acetylcholine receptor subunit beta-4
1412	Fluoxetine	Cyclin-dependent kinases regulatory subunit 1
1413	Fluoxetine	Potassium voltage-gated channel subfamily H member 2
1414	Pantothenic acid	Pantothenate kinase
1415	Tacrolimus	Peptidyl-prolyl cis-trans isomerase FKBP1A
1416	Ifenprodil	Glutamate receptor ionotropic, NMDA 2B
1417	Ifenprodil	Glutamate receptor ionotropic, NMDA 1
1418	Ifenprodil	G protein-activated inward rectifier potassium channel 1
1419	Ifenprodil	G protein-activated inward rectifier potassium channel 2
1420	Ifenprodil	G protein-activated inward rectifier potassium channel 4
1421	Citrulline	Argininosuccinate synthase
1422	Citrulline	N(G),N(G)-dimethylarginine dimethylaminohydrolase 2
1423	Citrulline	Argininosuccinate synthetase, isoform CRA_a
1424	Citrulline	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1
1425	Citrulline	Ornithine carbamoyltransferase, mitochondrial
1426	Citrulline	Nitric oxide synthase, brain
1427	Citrulline	Nitric oxide synthase, inducible
1428	Citrulline	Nitric oxide synthase, endothelial
1429	Citrulline	Protein-arginine deiminase type-6
1430	Citrulline	Protein-arginine deiminase type-1
1431	Citrulline	Protein-arginine deiminase type-3
1432	Citrulline	Protein-arginine deiminase type-2
1433	Citrulline	Protein-arginine deiminase type-4
1434	Artenimol	Actin, cytoplasmic 2
1435	Artenimol	Alpha-aminoadipic semialdehyde dehydrogenase
1436	Artenimol	Annexin A2
1437	Artenimol	ATP synthase subunit alpha, mitochondrial
1438	Artenimol	ATP synthase subunit g, mitochondrial
1439	Artenimol	ATP synthase subunit O, mitochondrial
1440	Artenimol	Calpastatin
1441	Artenimol	T-complex protein 1 subunit gamma
1442	Artenimol	Cofilin-1
1443	Artenimol	Chloride intracellular channel protein 1
1444	Artenimol	Cysteine and glycine-rich protein 1
1445	Artenimol	Dihydropyrimidinase-related protein 2
1446	Artenimol	Desmoplakin
1447	Artenimol	Elongation factor 1-alpha 1
1448	Artenimol	Alpha-enolase
1449	Artenimol	Filamin-A
1450	Artenimol	Alpha-ketoglutarate-dependent dioxygenase FTO
1451	Artenimol	Glucose-6-phosphate 1-dehydrogenase
1452	Artenimol	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific
1453	Artenimol	Glucose-6-phosphate isomerase
1454	Artenimol	Heterogeneous nuclear ribonucleoproteins A2/B1
1455	Artenimol	Heterogeneous nuclear ribonucleoprotein D0
1456	Artenimol	Heterogeneous nuclear ribonucleoprotein K
1457	Artenimol	Heterochromatin protein 1-binding protein 3
1458	Artenimol	Heat shock protein beta-1
1459	Artenimol	Ras GTPase-activating-like protein IQGAP1
1460	Artenimol	Far upstream element-binding protein 2
1461	Artenimol	L-lactate dehydrogenase A chain
1462	Artenimol	L-lactate dehydrogenase B chain
1463	Artenimol	Galectin-1
1464	Artenimol	Microtubule-associated protein 4
1465	Artenimol	Malate dehydrogenase, cytoplasmic
1466	Artenimol	Puromycin-sensitive aminopeptidase
1467	Artenimol	Profilin-1
1468	Artenimol	Phosphoglycerate kinase 1
1469	Artenimol	Pyruvate kinase PKM
1470	Artenimol	Peptidyl-prolyl cis-trans isomerase A
1471	Artenimol	Peroxiredoxin-1
1472	Artenimol	60S ribosomal protein L10
1473	Artenimol	60S ribosomal protein L14
1474	Artenimol	60S ribosomal protein L18
1475	Artenimol	60S ribosomal protein L23a
1476	Artenimol	60S ribosomal protein L35
1477	Artenimol	60S ribosomal protein L4
1478	Artenimol	40S ribosomal protein S13
1479	Artenimol	40S ribosomal protein S17
1480	Artenimol	40S ribosomal protein S18
1481	Artenimol	40S ribosomal protein S19
1482	Artenimol	40S ribosomal protein S28
1483	Artenimol	40S ribosomal protein S5
1484	Artenimol	40S ribosomal protein S6
1485	Artenimol	40S ribosomal protein S8
1486	Artenimol	40S ribosomal protein S9
1487	Artenimol	Splicing factor 1
1488	Artenimol	Splicing factor, proline- and glutamine-rich
1489	Artenimol	Small nuclear ribonucleoprotein Sm D2
1490	Artenimol	Signal recognition particle 14 kDa protein
1491	Artenimol	Serine/arginine-rich splicing factor 4
1492	Artenimol	Transgelin
1493	Artenimol	Transgelin-2
1494	Artenimol	Triosephosphate isomerase
1495	Artenimol	Tropomyosin alpha-1 chain
1496	Artenimol	Tubulin alpha-1A chain
1497	Artenimol	Vimentin
1498	Artenimol	Zyxin
1499	Artenimol	Heat shock cognate 71 kDa protein
1500	Artenimol	Tubulin beta-6 chain
1501	Artenimol	Tubulin beta-4A chain
1502	Artenimol	Tubulin beta chain
1503	Artenimol	Fructose-bisphosphate aldolase A
1504	Artenimol	Glyceraldehyde-3-phosphate dehydrogenase
1505	Artenimol	Cytochrome c
1506	Artenimol	Phosphoglycerate mutase 1
1507	Artenimol	Myosin-9
1508	Artenimol	Protein disulfide-isomerase
1509	Artenimol	Probable ATP-dependent RNA helicase DDX5
1510	Artenimol	Serine hydroxymethyltransferase, mitochondrial
1511	Artenimol	Spliceosome RNA helicase DDX39B
1512	Artenimol	Nucleophosmin
1513	Artenimol	Translationally-controlled tumor protein homolog
1514	Artenimol	P-type Ca2+-transporting ATPase
1515	Artenimol	Ornithine aminotransferase
1516	Artenimol	Elongation factor 1-alpha
1517	Artenimol	Multidrug resistance protein
1518	Artenimol	Elongation factor 2
1519	Artenimol	Actin-1
1520	Artenimol	Fructose-bisphosphate aldolase
1521	Artenimol	Cell division cycle protein 48 homologue,putative
1522	Artenimol	Heat shock protein 90
1523	Artenimol	Eukaryotic initiation factor 4A
1524	Artenimol	Pyruvate kinase
1525	Artenimol	L-lactate dehydrogenase
1526	Artenimol	Thioredoxin-related protein, putative
1527	Artenimol	Spermidine synthase
1528	Artenimol	Probable ATP-dependent 6-phosphofructokinase
1529	Artenimol	Glutamate dehydrogenase
1530	Artenimol	Endoplasmin homolog, putative
1531	Artenimol	Hypoxanthine-guanine-xanthine phosphoribosyltransferase
1532	Artenimol	Enolase
1533	Artenimol	40S ribosomal protein S3
1534	Artenimol	Non-SERCA-type Ca2+-transporting P-ATPase
1535	Artenimol	Tubulin alpha chain
1536	Artenimol	Knob-associated histidine-rich protein
1537	Artenimol	S-adenosylmethionine synthase
1538	Artenimol	V-type H(+)-translocating pyrophosphatase, putative
1539	Artenimol	Phosphoethanolamine N-methyltransferase
1540	Artenimol	40S ribosomal protein S3a
1541	Artenimol	Conserved Plasmodium membrane protein
1542	Artenimol	60S ribosomal protein L3
1543	Artenimol	High molecular weight rhoptry protein 2
1544	Artenimol	Serine repeat antigen 5
1545	Artenimol	Glycophorin-binding protein
1546	Artenimol	Calcium-transporting ATPase
1547	Artenimol	V-type proton ATPase catalytic subunit A
1548	Artenimol	60S ribosomal protein L2
1549	Artenimol	Acyl-CoA synthetase
1550	Artenimol	Plasmepsin IV
1551	Artenimol	Plasmepsin-1
1552	Artenimol	Chloroquine resistance transporter
1553	Artenimol	14-3-3 protein
1554	Artenimol	Isoleucine--tRNA ligase, putative
1555	Artenimol	Plasmodium exported protein
1556	Artenimol	60S ribosomal protein L27
1557	Artenimol	Sec62, putative
1558	Artenimol	Autophagy-related protein 18, putative
1559	Artenimol	Mature parasite-infected erythrocyte surface antigen
1560	Artenimol	Importin-7, putative
1561	Artenimol	Importin subunit alpha
1562	Artenimol	Peptidyl-prolyl cis-trans isomerase
1563	Artenimol	DnaJ protein, putative
1564	Artenimol	Merozoite surface protein 1
1565	Artenimol	Glutamate--tRNA ligase
1566	Artenimol	T-complex protein 1 subunit eta
1567	Artenimol	Plasmepsin-2
1568	Artenimol	Chaperone, putative
